id,Company name,Order Number,Order amount,order date,paid?
1,Miboo,453982,$87317.36,12/4/2020,false
2,Skiba,034634,$2878526.67,1/18/2022,false
3,Devpulse,681029,$2659083.12,2/2/2022,false
4,Shufflester,928473,$2139029.96,11/14/2021,true
5,Fliptune,915869,$250194.39,5/12/2020,true
6,Bluezoom,146336,$1750655.17,12/25/2021,false
7,Thoughtblab,663672,$2793948.88,1/17/2020,false
8,Tagchat,713341,$920726.62,3/9/2021,false
9,Ntag,091638,$1886696.33,8/29/2020,false
10,Oyoloo,717753,$2448537.01,1/1/2021,false
11,Youbridge,962573,$234091.34,2/10/2022,true
12,Quaxo,388466,$551084.13,8/30/2020,false
13,Gabtype,633783,$572346.26,3/4/2020,true
14,Skibox,949720,$231053.69,4/29/2020,true
15,Twitternation,070000,$2909120.31,1/1/2021,true
16,Thoughtbeat,191893,$665983.02,7/25/2021,false
17,Youbridge,866329,$783171.26,2/28/2021,false
18,Realblab,301292,$2158767.54,8/12/2020,true
19,Jamia,567011,$2504667.05,12/17/2021,true
20,Buzzbean,708903,$2040261.32,4/9/2020,true
21,Avaveo,882157,$1997196.87,11/22/2020,false
22,Browseblab,126320,$2494183.43,8/12/2020,true
23,Rhybox,411482,$1559168.80,11/17/2021,false
24,Yabox,062333,$303827.66,2/24/2022,false
25,Pixoboo,309857,$1141800.20,10/29/2021,true
26,Talane,664966,$2234542.67,7/3/2021,false
27,Eimbee,689558,$2303771.10,1/24/2021,false
28,Leexo,301829,$1512390.36,5/23/2021,false
29,Youtags,903845,$287913.23,1/12/2020,true
30,Ntags,969477,$964553.59,7/5/2021,true
31,Npath,163778,$2393659.38,5/9/2020,false
32,Bluejam,325311,$2044053.40,9/30/2020,false
33,Eimbee,206627,$2010523.03,3/11/2020,true
34,Tagfeed,643514,$2345263.64,3/10/2020,false
35,Twitterbeat,405750,$863141.01,4/11/2020,false
36,Gevee,511199,$740672.17,12/15/2020,true
37,Livetube,827089,$2599055.11,1/31/2021,false
38,Centimia,884444,$183306.50,2/14/2022,true
39,Jazzy,988169,$1685744.97,5/27/2020,false
40,Leexo,658054,$267665.45,7/21/2021,false
41,Bubbletube,348954,$1243815.88,1/11/2020,true
42,Buzzbean,649707,$1262693.41,1/1/2022,true
43,Mydo,399901,$2541987.62,5/12/2021,true
44,Miboo,435565,$947101.12,9/3/2021,false
45,Quire,068335,$548744.52,5/4/2021,false
46,Browseblab,047470,$940561.03,8/8/2020,false
47,Roombo,184380,$168189.68,5/1/2020,true
48,Skinder,160059,$1953451.99,8/15/2020,true
49,Jabberbean,148907,$2199277.38,6/5/2020,false
50,Janyx,526263,$770864.36,10/13/2020,true
51,Blognation,145578,$2448151.77,1/14/2022,true
52,Trunyx,456221,$933917.99,2/6/2020,true
53,Ntag,280044,$2341483.82,3/10/2021,false
54,Yodoo,193846,$2252594.68,2/27/2020,false
55,Devshare,420667,$474727.83,4/18/2020,true
56,Blogpad,029116,$2321659.07,5/24/2020,true
57,Bubblebox,112140,$2677618.25,4/17/2021,true
58,Devshare,878704,$650533.09,4/20/2021,false
59,Skyble,157434,$2019816.43,12/31/2021,true
60,Dablist,884927,$24271.40,7/1/2020,true
61,Oozz,216205,$356895.76,11/29/2021,false
62,Zoovu,171859,$2887143.08,10/9/2021,false
63,Devshare,779256,$2736647.48,12/16/2020,true
64,Quimm,729849,$2639154.06,10/19/2021,true
65,Bluezoom,102124,$361264.39,9/13/2020,false
66,Yodel,382293,$506177.64,1/2/2021,false
67,Skyndu,309356,$286099.72,9/21/2021,true
68,Fivebridge,444662,$2413380.05,1/29/2022,false
69,Mita,160024,$1587929.17,10/1/2020,true
70,Digitube,824303,$1427701.08,10/21/2020,false
71,Meezzy,451527,$960190.06,6/6/2020,true
72,Gigabox,813886,$2851457.68,3/15/2020,true
73,Devpoint,170912,$2820339.44,4/17/2021,true
74,Trudoo,501852,$657952.90,6/8/2020,false
75,Ooba,047784,$1054351.75,12/7/2021,true
76,Tavu,563537,$2192291.28,9/9/2021,false
77,Shuffledrive,413409,$223469.08,8/14/2020,true
78,Oyoloo,756216,$2198852.08,8/21/2021,true
79,Flashdog,404235,$813610.66,2/22/2020,true
80,Aimbo,758140,$1850738.33,9/28/2020,false
81,Yodo,413189,$1022864.14,8/3/2020,true
82,Riffpath,702872,$2333758.76,12/3/2020,true
83,Babbleblab,172756,$1229753.99,7/12/2020,false
84,Avaveo,457180,$1950933.42,10/22/2020,true
85,Roombo,581522,$1542849.06,12/18/2021,false
86,Oyope,500700,$2696376.31,6/5/2020,true
87,Gigashots,458753,$948609.27,6/13/2020,false
88,Rhynyx,528257,$1589156.89,6/14/2020,true
89,Edgewire,458107,$2888839.43,12/18/2021,true
90,Quamba,952140,$733923.52,2/22/2022,true
91,Bubblebox,939746,$2844777.20,12/25/2020,true
92,Vitz,420763,$770124.94,6/8/2021,false
93,Babblestorm,088780,$1269327.63,8/24/2020,true
94,Aimbu,647190,$2377943.64,8/29/2020,true
95,Brightbean,466335,$2684589.10,3/4/2020,false
96,Mydo,891953,$2317660.54,7/9/2021,false
97,Wordpedia,505559,$77157.95,10/8/2020,false
98,Vipe,667147,$155642.18,9/27/2021,false
99,Realpoint,811588,$1118154.11,6/3/2020,true
100,Fliptune,571313,$1375067.82,2/24/2020,false
101,Youbridge,970423,$227329.14,3/12/2021,false
102,Linktype,278226,$834286.28,8/27/2021,true
103,Tagcat,248078,$1687014.05,9/30/2021,true
104,Thoughtblab,489652,$1953979.98,9/30/2020,false
105,Topicware,567074,$1287701.18,1/22/2020,false
106,Babbleset,505962,$2448716.50,12/15/2021,true
107,Voonte,433852,$1771019.83,9/18/2021,false
108,Quire,035400,$556505.76,8/24/2020,false
109,Latz,758742,$121470.07,12/29/2021,true
110,Tazz,296881,$728700.08,3/2/2021,false
111,Blognation,013457,$2263606.15,3/11/2021,false
112,Muxo,025437,$2955210.62,12/15/2021,false
113,Izio,579020,$1160267.50,11/19/2020,false
114,Edgepulse,565737,$2727856.77,4/6/2021,false
115,Dazzlesphere,264946,$795020.65,7/5/2020,false
116,Vidoo,233805,$2684772.34,10/27/2020,true
117,Edgeify,587848,$2651466.62,5/25/2020,true
118,Brightdog,058976,$842422.77,5/11/2020,true
119,Zoomzone,252233,$2663394.50,11/29/2020,true
120,Youtags,015820,$1307811.20,6/15/2021,false
121,Gigabox,738953,$714724.16,9/29/2020,false
122,Topicware,450563,$1487503.27,7/1/2020,true
123,Wordify,003652,$1313278.85,8/18/2021,false
124,Demimbu,882580,$1982576.09,10/1/2021,false
125,Bubblemix,553475,$1298786.51,11/28/2020,false
